composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
Os0.3Ru0.7B2,23.5,23.480017,21.00189,27.095541,1.5545027,2.3900993,0.49
ZrB20,29.6,29.705873,28.861504,31.881433,0.7703903,1.1845005,4.9
HfV16Ge31,7.2,8.538398,6.9967837,8.958535,0.5004468,0.76945347,0.98
Nb0.07Pt0.93,1.16,1.5131211,1.1127762,1.6995866,0.14969654,0.23016338,9.8
Zr0.25Y0.25Gd0.5B20,42.1,42.2798,37.68988,42.8251,1.310005,2.014176,0.49
Hf0.12V2.91Ge0.97,10.2,9.822987,7.020949,10.589419,0.9103241,1.3996534,0.49
Re0.6W0.4B2,32.52,33.395382,26.000235,32.08113,1.551249,2.3850965,2.94
YReB4,30.42486152,30.959969,29.089348,31.48221,0.61042404,0.93854713,0.98
Co3B,11.28,10.952131,9.090418,17.825457,2.228326,3.426125,0.49
Y0.25Zr0.75B12,36.39841791,37.43353,34.59145,38.047977,0.8817673,1.3557463,0.98
Re0.6W0.4B2,34.76,35.51755,26.943542,33.9145,1.7783058,2.7342038,1.96
W0.9Ho0.1B11.6,32.12666667,30.99784,28.634857,31.445215,0.71692806,1.1023006,2.94
