,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
144,Gd2Co17,7.01,5.299226,4.8254256,6.290743,0.3738054,14.226987,0.98
145,GdC2,4.63,5.0672913,4.2607093,8.26936,1.0226148,38.920593,1.72
146,GdCo2,5.88,6.192268,4.5844526,5.982783,0.35671687,13.5766,0.98
147,GdCo3,6.28,6.983463,4.413371,6.7185187,0.58804786,21.058699,0.98
148,GdCo5,6.86,6.2122912,4.702209,7.324384,0.66892225,28.324974,0.98
149,GdMn2Si2,6.8,6.692249,5.6014023,8.683712,0.78630346,26.369259,0.49
150,GdRh3B,6.8,5.703618,5.783036,7.6296644,0.4710786,20.162933,2.94
151,Hf0.04W0.96B4,51.33958492,48.633327,41.75922,50.558483,2.24471,80.38576,0.49
152,Hf0.04W0.96B4,39.9514797,40.716084,37.12123,43.457283,1.6163398,57.883068,0.98
153,Hf0.04W0.96B4,34.87300034,36.55907,33.6324,38.339615,1.20082,43.002804,1.96
154,Hf0.04W0.96B4,33.45718185,34.140022,32.12913,35.8123,0.93958426,33.64764,2.94
155,Hf0.04W0.96B4,31.08725252,32.098446,30.803314,33.981922,0.81086934,29.038204,4.9
156,Hf0.12V2.91Ge0.97,10.2,8.69722,6.7749157,11.798612,1.281555,42.977882,0.49
157,Hf0.1Pt0.9,0.7,1.4303918,0.772298,5.1725383,1.1225103,40.19844,9.8
158,Hf0.1W0.9B4,42.28536669,49.53045,42.495728,50.42575,2.022965,76.9938,0.49
159,Hf0.1W0.9B4,37.3915316,41.055218,37.51338,43.466225,1.5185833,57.797092,0.98
160,Hf0.1W0.9B4,33.17491021,37.159313,33.74405,38.04192,1.0963955,41.728676,1.96
161,Hf0.1W0.9B4,31.3589137,35.252594,32.343422,36.07604,0.952198,36.24054,2.94
162,Hf0.1W0.9B4,29.01976303,33.56412,30.979395,34.244217,0.83286273,31.698652,4.9
163,Hf0.20Zr0.20Ti0.20Ta0.20Nb0.20,3.826,3.7054982,3.0496097,7.37156,1.1025383,41.96247,4.9
